countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
29,Canada,2,2,40.9819191815185,10.8736430327409,21.3553959807156,7.30801230181556,1856,2009,1856,1955,1856,21.3553959807156,0,2371.4,2371.4,40541,13872
30,Cape Verde,3,2,43.2036525336091,18.302196483971,19.2683549494128,5.66273265036351,1984,2016,1949,2000,1893,34.3431438609721,1,2377,,6418,4373
31,Central African Republic,3,1,43.2284603448276,36.9041444297082,27.9351218491239,17.3555909007731,1978,2016,1961,1979,1961,27.9351218491239,0,1387,1585,589,1317
32,Chad,5,3,48.4251186440678,48.4251186440678,27.8875924227411,13.4710519050768,454,517,1953,2016,1953,27.8875924227411,0,,1064,,2189
33,Channel Islands,2,2,16.5528197179165,9.39863748079877,12.5845039337474,9.11204679089027,1948,2013,1948,2016,1948,12.5845039337474,0,,,,
34,Chile,3,1,39.3715657509259,13.884097298506,28.0269871318654,5.77480115684727,1929,2016,1921,1978,1921,28.0269871318654,0,4953,3250,21696,6921
35,China,2,2,37.6247890011631,12.1714813535912,17.943589527027,6.78119510135135,1949,2005,1949,1972,1949,17.943589527027,0,650.583333333333,650.583333333333,6212,1142
36,Colombia,3,2,35.2064867886179,14.2092175680453,21.5565180200433,5.80754334433703,1971,2016,1902,1990,1876,26.3459781159809,1,5066,1072,13326,7654
37,Comoros,3,2,46.2871992204418,32.3015908957897,25.776712758969,8.60724611998738,1980,2016,1952,1999,1921,37.4266905478048,1,1434,754,1702,1409
38,"Congo, Dem. Rep.",3,2,46.3703811442385,42.7326138349966,24.4720316869659,11.0787712967398,2004,2016,1953,2016,1892,37.5098724716016,1,557,1910,836,836
39,"Congo, Rep.",3,2,43.0494973262032,36.2825891455228,22.4338763544605,11.8650816387116,1970,2016,1953,1974,1930,34.1889886535662,1,3888,2905,5974,4622
40,Costa Rica,1,2,42.9645557937992,15.1843857861602,31.4232860686151,4.27619907725852,1958,2008,1887,1982,1878,34.1040471211623,1,4026,,11883,6545
41,Cote d'Ivoire,3,2,54.4420757425743,35.4469102310231,30.5905945202078,14.8095681352565,1963,2016,1953,1981,1927,45.5815670699373,1,3573,2614,3395,4870
